N.Artist,M.Artist,N.Love,M.Love,N.Minister,M.Minister,N.Theory,M.Theory,N.Mentor,M.Mentor,N.Comedian,M.Comedian,N.Criminal,M.Criminal,N.Friend,M.Friend,N.Argument,M.Argument,N.Boyfriend,M.Boyfriend,N.Welder,M.Welder,N.Firefighter,M.Firefighter,N.Rustling,M.Rustling,N.Cousin,M.Cousin,N.Cashier,M.Cashier,N.Obituary,M.Obituary,N.Uncle,M.Uncle,N.Stroller,M.Stroller,N.Catalog,M.Catalog,N.Chair,M.Chair,N.Man,M.Man,N.Woman,M.Woman,ParticipantGender,Age,NativeEng,Political,Filter
4,1,1,1,1,1,2,1,1,1,1,1,4,1,1,1,2,1,1,1,4,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,37,1,1,1
4,6,6,6,5,4,5,6,5,6,3,5,6,4,6,6,5,5,6,5,1,1,1,4,3,2,1,2,2,1,1,2,1,3,2,2,3,2,2,4,4,3,3,4,1,27,1,2,1
6,7,7,7,7,7,3,4,7,7,6,7,3,6,4,6,7,7,7,7,7,7,2,4,4,6,1,4,2,4,6,4,1,7,1,1,2,7,1,5,7,7,7,7,2,35,1,1,1
3,3,4,4,1,1,2,2,3,3,1,1,1,1,3,3,3,3,4,4,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,4,4,1,1,2,2,2,2,2,33,1,1,1
4,6,7,7,4,4,4,1,5,4,6,6,2,2,5,4,1,1,1,1,2,4,2,1,1,1,1,1,1,1,1,1,2,1,5,3,1,1,1,1,6,4,7,4,2,27,1,2,1
1,6,6,1,6,7,2,2,5,7,6,7,6,6,6,4,1,3,5,4,1,2,1,4,1,2,2,2,3,1,2,5,1,6,1,3,2,5,5,4,3,5,4,6,1,61,1,2,1
1,1,1,5,3,1,1,3,4,6,1,1,3,1,2,5,3,1,1,5,2,5,2,6,1,6,2,4,1,1,3,5,1,3,2,1,3,4,1,5,5,3,1,1,2,34,1,1,1
5,5,5,5,3,3,4,5,5,6,4,4,5,5,5,5,5,5,3,3,2,1,1,1,4,4,5,5,2,2,3,3,3,3,3,3,4,4,2,2,2,2,2,2,2,22,1,2,1
5,5,6,3,6,6,5,5,6,3,6,5,5,3,6,5,2,2,6,6,6,5,6,3,4,4,3,3,4,3,2,2,6,3,6,6,6,6,4,4,6,6,6,5,1,59,1,1,1
4,6,7,6,3,6,3,5,2,5,3,6,6,7,4,6,3,4,5,6,3,4,4,5,3,4,2,4,2,4,2,5,4,7,2,6,2,5,4,5,6,6,5,6,2,43,1,2,1
4,7,6,6,6,7,4,4,4,7,5,6,3,6,7,6,3,5,2,7,4,5,4,5,1,1,4,1,5,4,5,5,5,6,7,5,4,3,1,4,7,1,2,2,1,55,1,1,1
7,5,6,6,6,5,6,7,6,5,7,7,5,6,3,4,5,6,6,7,5,7,5,6,5,5,2,2,4,4,2,3,3,3,1,1,6,7,2,4,7,7,6,6,2,18,1,1,1
5,6,3,6,3,4,5,6,6,5,6,6,2,5,6,3,4,6,3,5,4,6,3,6,2,2,5,6,3,5,2,3,6,5,3,5,2,3,3,6,6,4,6,4,2,25,2,1,1
3,3,7,7,3,4,6,5,1,1,5,3,3,2,4,5,3,1,3,4,1,1,3,2,1,1,1,1,1,1,5,3,1,1,2,2,2,1,2,1,3,3,1,1,2,33,1,2,1
1,3,3,3,2,2,1,1,2,3,1,2,2,2,3,3,3,3,2,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,41,1,1,1
3,5,4,4,4,4,1,3,4,4,1,1,5,5,5,5,1,1,4,4,1,4,1,1,1,1,1,1,3,3,4,5,1,5,1,3,1,1,1,1,4,4,4,4,2,27,1,2,1
5,7,6,7,3,4,2,7,4,7,6,5,4,1,5,6,5,6,5,6,1,2,1,6,4,5,3,4,2,5,1,6,2,5,1,5,6,4,3,7,6,2,5,1,1,28,1,2,1
3,2,5,2,3,2,5,1,3,2,2,5,5,1,1,5,5,2,5,5,3,2,2,3,2,2,2,1,6,3,3,1,6,3,2,3,6,3,1,1,3,1,2,1,2,24,2,2,1
4,6,6,3,6,6,1,5,2,5,7,3,1,6,6,5,4,4,6,5,1,1,1,4,4,4,1,1,1,1,5,4,1,1,1,4,1,1,1,1,4,4,4,4,2,50,1,1,1
6,6,3,6,4,4,3,4,6,6,5,5,5,5,7,7,2,3,6,6,5,4,5,5,4,5,1,1,5,5,2,3,3,4,2,3,2,2,2,2,3,4,6,7,1,27,2,1,1
3,6,7,5,4,5,3,5,7,4,4,6,6,6,7,4,4,5,6,4,7,5,7,5,2,1,3,4,6,6,1,2,3,3,6,4,3,3,4,5,7,5,6,5,2,22,1,1,1
5,7,7,7,6,2,4,6,6,6,6,7,7,5,6,6,3,6,7,7,2,2,2,2,2,4,3,6,2,2,6,6,6,6,3,6,2,4,3,6,7,7,7,7,2,25,1,1,1
6,7,1,1,1,1,4,4,5,4,5,5,3,1,5,2,6,6,5,5,2,2,1,4,1,1,2,1,1,1,1,3,5,6,2,2,2,2,5,5,6,6,6,6,1,65,1,2,1
5,3,6,5,5,4,5,5,5,6,6,5,5,5,6,7,6,5,4,5,5,4,4,3,6,5,6,5,4,5,5,4,4,4,4,5,5,4,6,5,6,5,6,4,2,30,1,2,1
1,2,7,2,5,6,1,6,6,6,2,5,2,2,6,6,3,2,5,2,1,1,1,2,2,2,3,5,1,1,2,1,3,5,3,2,6,2,4,2,6,2,1,1,2,45,1,1,1
6,4,5,3,5,7,2,4,5,6,3,2,5,5,5,4,3,2,7,5,3,5,5,6,1,4,1,3,4,3,3,6,4,6,3,5,2,1,7,6,5,6,5,4,2,21,1,2,1
2,7,7,4,6,3,3,6,4,7,3,6,7,4,6,5,4,3,4,5,4,6,7,5,3,3,7,1,6,7,6,3,7,3,4,6,2,6,6,5,7,5,7,7,1,55,1,2,1
5,3,3,3,3,5,5,3,3,4,3,4,2,4,5,6,4,4,3,3,3,3,4,5,3,3,3,2,2,5,2,2,2,2,3,4,5,4,2,4,5,3,2,2,1,23,1,2,1
7,5,7,5,3,6,4,5,6,4,7,5,7,5,6,5,4,7,5,4,3,6,3,5,5,7,1,4,5,6,2,5,2,4,5,3,7,3,7,5,4,6,5,6,2,39,1,2,1
2,3,1,1,3,5,2,3,5,3,5,4,3,3,5,2,2,3,5,3,2,3,2,2,2,3,2,3,2,4,3,5,2,6,2,3,3,4,2,3,6,2,3,3,2,26,1,1,1
4,7,4,4,4,6,3,6,4,7,3,2,2,6,4,6,2,6,6,6,4,5,6,5,5,3,6,6,6,2,5,4,2,6,6,3,6,6,5,7,5,6,6,4,2,27,1,1,2
6,3,3,5,4,5,4,5,5,4,3,6,3,6,6,4,3,5,5,3,2,6,1,5,1,4,2,5,1,5,4,5,5,3,2,5,1,3,2,5,5,4,3,5,2,27,1,1,1
6,5,7,4,6,2,5,4,5,5,3,7,7,3,6,6,7,2,6,6,5,2,1,2,3,4,1,1,5,1,2,4,1,7,5,6,6,3,1,1,5,3,5,3,1,32,1,2,1
6,2,6,2,6,2,6,2,6,2,6,2,6,2,6,2,6,2,6,2,6,2,6,2,6,2,6,2,6,2,6,2,6,2,6,2,6,2,6,2,6,2,6,2,1,45,1,2,1
7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,1,35,1,1,1
1,5,7,6,6,5,6,4,5,7,5,6,7,5,7,5,1,6,7,6,5,4,5,4,5,7,3,6,5,6,7,4,4,7,4,3,7,5,6,5,4,6,3,5,1,29,1,2,1
7,1,7,1,1,7,1,1,1,7,1,1,1,1,7,1,1,1,7,1,1,1,1,7,1,1,1,1,1,1,1,1,7,7,1,1,1,1,1,7,7,1,1,1,1,34,1,1,1
7,7,6,5,7,6,5,6,6,6,6,5,5,6,7,6,6,6,6,3,2,4,5,3,1,3,2,3,3,5,5,6,7,5,2,4,7,6,3,5,5,2,6,5,1,40,1,2,1
7,5,7,7,7,3,3,2,7,7,5,3,7,7,7,5,7,4,7,7,5,3,7,5,5,2,3,2,1,1,5,4,7,7,4,2,3,1,5,5,6,5,6,4,2,37,1,2,1
3,5,7,6,6,2,6,4,4,5,3,5,5,7,6,3,4,6,4,4,1,2,1,3,1,1,2,2,2,2,3,5,3,3,1,1,2,2,5,3,5,5,5,5,2,30,2,2,1
1,1,4,4,1,7,1,1,4,4,7,1,1,1,4,4,7,4,1,7,7,1,4,4,1,4,1,1,4,1,1,1,1,1,1,1,1,1,4,4,7,4,4,4,2,25,1,1,1
4,5,7,5,2,4,5,5,5,6,5,3,5,4,7,5,4,4,4,5,4,5,4,3,2,2,1,1,2,2,3,5,4,4,2,2,2,2,1,4,7,4,7,7,1,33,1,2,1
4,5,6,6,6,6,3,4,6,6,3,5,7,7,6,5,5,5,7,5,3,5,2,3,5,5,1,1,5,2,2,5,5,6,1,3,5,7,1,1,5,3,5,4,2,21,1,2,1
5,6,4,6,2,6,2,5,4,6,4,6,7,7,6,4,4,6,6,6,2,4,2,5,2,5,2,4,2,4,4,5,6,6,2,4,3,6,4,6,6,4,5,5,1,32,1,2,1
6,4,7,3,6,4,7,6,7,6,6,5,5,4,6,5,6,4,7,6,4,3,5,6,5,4,5,2,5,4,6,4,7,7,6,4,5,4,5,4,7,4,7,4,2,31,1,2,1
3,4,6,2,6,3,6,6,5,4,6,6,6,5,5,7,5,6,6,2,5,6,6,4,2,5,2,3,2,6,2,6,5,3,2,3,6,6,3,4,5,5,2,2,1,42,1,1,1
6,3,6,2,6,6,5,5,5,5,6,6,5,3,5,5,5,3,5,4,6,3,6,2,5,2,3,5,5,5,2,2,5,3,5,2,5,2,3,3,2,5,2,5,1,60,1,2,1
6,6,7,7,5,6,2,2,6,6,7,6,5,2,6,7,6,4,7,4,6,5,5,6,3,3,2,2,3,4,2,2,6,6,1,2,2,5,5,5,2,6,2,4,2,38,1,2,1
5,7,7,7,4,2,3,5,3,7,6,7,4,4,5,7,7,7,5,7,1,3,1,4,6,3,1,2,1,2,3,5,1,5,1,6,3,4,2,6,1,2,1,2,1,27,1,1,1
7,7,6,6,3,2,4,5,2,5,3,5,2,4,2,4,4,6,5,3,1,2,1,2,5,4,3,3,1,1,1,1,2,3,3,2,2,2,2,2,3,4,3,5,2,30,1,1,1
6,4,6,7,6,3,2,7,5,2,2,6,3,1,1,6,2,5,6,4,4,2,6,2,5,1,6,4,6,2,4,6,5,2,6,2,6,4,5,2,4,1,2,6,2,27,1,1,1
5,6,3,2,2,4,1,4,2,1,1,4,4,1,1,1,3,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,30,1,2,1
3,5,7,7,5,5,6,6,5,6,5,5,7,4,6,6,6,6,5,3,1,1,5,4,2,2,2,2,3,3,1,1,3,3,3,1,5,5,1,1,5,3,2,2,1,39,1,2,1
5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,6,5,5,5,5,5,5,5,4,5,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,2,20,1,2,1
6,6,7,6,7,6,5,6,7,7,5,6,5,6,6,6,6,7,6,6,2,3,2,3,3,4,2,3,2,3,4,6,7,6,1,2,3,6,3,5,7,6,5,6,2,46,1,1,1
3,5,3,5,4,6,4,5,4,6,2,6,5,3,2,6,3,3,4,5,4,5,4,6,2,2,5,5,2,4,1,2,1,5,1,3,4,7,1,2,4,6,4,5,2,46,1,2,1
3,5,3,4,4,4,4,5,3,5,3,6,5,6,3,4,3,6,6,6,5,4,2,4,3,3,2,4,3,4,5,6,2,2,5,4,5,4,5,5,6,6,6,6,2,51,1,2,1
6,7,5,7,6,6,6,6,4,7,7,7,6,7,6,7,7,7,2,6,4,5,5,7,3,5,2,3,4,4,6,5,2,6,4,4,6,4,4,7,4,7,6,5,1,37,1,1,1
6,3,7,5,5,3,5,3,6,6,6,5,6,5,7,5,6,5,3,6,5,2,3,6,1,1,2,2,3,3,3,5,5,6,2,2,2,2,1,1,5,3,6,6,1,39,1,2,1
5,4,3,4,5,4,3,4,4,5,5,3,5,4,5,4,4,5,5,4,5,4,5,4,5,4,3,4,4,5,3,4,3,5,3,5,6,3,5,4,5,4,4,5,2,20,1,2,1
6,7,5,5,7,7,3,4,5,5,2,6,2,5,5,6,3,5,5,5,2,3,5,2,2,2,1,5,1,1,3,5,6,7,1,5,1,5,1,6,5,7,6,6,1,34,1,2,1
7,7,7,7,7,7,2,2,7,7,7,7,7,1,7,7,1,7,7,7,3,3,7,7,1,1,1,5,2,2,1,1,4,6,2,6,1,7,7,5,7,5,6,5,1,58,1,2,1
7,7,7,7,5,6,5,6,6,7,6,6,1,7,7,7,7,7,1,1,1,1,1,6,7,7,1,1,1,1,5,6,1,1,5,6,6,6,1,5,2,7,1,1,2,57,1,1,1
2,3,1,3,1,5,3,5,4,3,1,1,1,3,1,6,3,4,1,5,1,2,1,1,1,4,1,2,1,5,1,1,1,1,2,1,1,3,2,5,1,3,1,5,1,59,1,2,1
3,3,4,4,3,3,4,3,4,3,3,3,4,4,4,4,4,3,3,3,4,4,4,4,2,2,1,2,3,3,4,4,4,4,2,2,3,3,2,2,5,5,3,3,1,49,1,1,1
5,5,7,7,6,6,1,1,6,5,5,4,4,2,6,6,5,2,5,4,3,2,1,1,6,6,1,1,1,1,1,1,1,4,1,1,3,4,3,4,6,4,4,5,1,55,1,2,1
4,7,7,7,7,7,7,7,7,7,7,7,4,7,7,3,7,7,7,7,1,7,7,7,7,7,1,7,7,7,1,5,5,1,1,1,7,7,1,7,7,7,7,2,1,55,1,2,1
2,6,4,4,1,4,2,2,2,4,4,7,4,7,6,4,1,3,4,4,1,3,2,4,1,1,1,2,1,3,1,3,4,4,1,3,4,4,1,3,3,1,1,1,2,38,1,2,1
2,6,2,6,2,1,6,5,2,6,2,6,5,5,4,6,5,5,5,5,1,1,1,1,2,3,3,2,2,5,3,3,1,1,2,2,6,6,4,7,2,3,1,1,2,23,1,2,1
6,6,6,6,5,5,6,6,5,5,6,5,4,5,6,6,3,3,3,3,6,6,5,6,2,2,2,3,5,5,4,3,2,4,3,2,3,3,4,3,4,4,4,4,1,47,1,1,1
5,5,3,5,6,2,4,5,6,3,4,6,4,2,6,2,6,2,5,2,5,2,5,4,3,5,4,5,2,5,5,2,5,2,2,5,2,5,2,4,5,3,5,2,1,54,1,2,1
5,4,6,3,4,5,3,5,5,6,2,4,5,3,7,3,6,7,7,7,3,7,3,2,3,2,5,2,2,4,3,5,6,7,4,7,6,6,6,7,7,5,7,6,2,22,1,2,1
5,7,6,7,7,4,5,6,4,6,5,6,4,5,7,6,5,6,7,6,1,2,1,2,5,2,1,6,2,3,3,5,2,5,2,2,2,2,1,1,6,4,2,2,1,33,1,2,1
6,7,5,3,3,5,6,5,5,3,7,7,5,6,6,7,5,5,6,5,6,6,6,7,5,6,5,6,6,5,2,3,3,6,3,1,2,3,5,6,6,5,5,7,1,43,1,2,1
2,3,6,6,4,6,6,4,4,3,5,5,5,2,4,4,5,4,3,4,2,1,2,2,7,7,2,6,2,2,1,1,2,6,6,4,7,2,2,5,2,4,1,1,1,38,1,2,1
7,1,7,2,2,6,7,1,2,7,2,6,7,1,1,6,7,2,6,1,6,2,2,7,6,1,1,6,6,1,6,3,7,1,7,1,6,1,7,1,6,2,1,7,2,37,2,1,1
4,7,7,6,6,6,6,3,6,7,5,3,6,4,7,6,6,7,6,6,4,2,4,5,5,5,6,5,5,6,2,3,6,3,6,5,4,4,6,7,7,6,6,6,2,29,1,2,1
2,5,6,6,1,5,6,3,2,5,5,5,4,2,5,5,6,4,2,2,2,2,4,2,2,3,1,1,2,2,5,2,4,3,2,2,2,4,3,4,6,5,6,5,2,26,1,2,1