Dominant,Promiscuous,Wanting To Be Boss,Rude,Disrespectful,Vulgar,Abuse Spouse,Abuse Children,Cheating on Spouse,Emotionally Cold,Initiating Fights,Not Taking Action When Significant Others Threatened,Not Wanting Children,Not Cleaning House,Spendthrift on Cosmetics and Clothing,Not Caring about Appearance,Gender,Gender Others,Age,NativeEng
7,6,7,7,6,7,7,7,7,6,6,6,6,5,6,6,1,,25,1
6,6,7,5,6,6,6,6,7,7,7,6,6,6,6,7,1,,24,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,30,1
7,4,6,5,5,5,5,6,6,4,4,5,6,5,4,4,1,,22,1
1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,,26,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,20,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,39,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,nonbinary,24,1
1,1,1,1,1,1,5,6,1,1,2,2,1,1,2,1,2,,28,1
5,4,5,4,2,3,4,4,6,4,4,5,4,4,5,4,2,,21,1
5,4,2,5,3,6,4,3,3,3,5,2,5,3,3,5,2,,44,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,31,1
5,5,6,5,5,4,6,5,5,5,6,6,4,5,5,5,2,,30,1
7,6,6,6,7,6,5,6,6,7,5,5,7,6,5,6,1,,24,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,27,1
3,3,5,3,5,3,4,4,5,4,2,4,4,4,4,5,2,,28,1
1,1,1,1,1,1,1,7,3,1,1,3,2,1,4,1,1,,30,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,31,1
1,1,1,1,1,1,1,6,1,1,1,1,4,1,1,5,2,,54,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,31,1
5,4,5,5,5,6,4,4,4,4,4,5,6,5,5,6,2,,30,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,38,1
1,1,1,1,1,1,3,5,1,1,1,1,1,1,1,1,2,,25,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,30,1
3,4,5,3,4,3,5,5,3,5,4,4,5,5,4,5,2,,27,1
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,,27,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,21,1
5,5,3,3,4,4,3,5,4,4,3,3,3,3,3,4,1,,30,1
1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,,30,1
2,4,3,2,2,3,6,6,6,1,5,4,1,1,4,1,1,,50,1
1,1,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1,,57,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,38,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,35,1
5,5,5,5,6,5,6,6,6,5,5,5,5,7,6,6,2,,28,1
4,5,5,5,3,3,3,4,4,4,5,5,4,5,6,3,2,,23,2
1,1,1,2,1,2,4,4,4,1,4,1,1,1,4,2,2,,34,1
3,7,3,7,6,4,4,2,1,4,5,5,2,4,3,2,2,,28,1
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,,64,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,29,1
5,5,4,4,4,4,2,4,4,6,4,3,2,4,4,5,2,,24,1
5,6,6,5,5,5,5,5,6,6,5,6,4,5,4,6,1,,23,1
3,2,3,3,3,4,5,3,3,2,3,3,2,3,2,3,2,,29,1
2,4,7,5,6,4,5,6,7,4,6,6,5,6,3,4,2,,30,1
1,1,1,1,2,1,4,1,4,1,1,1,1,1,1,1,2,,29,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,29,1
5,6,6,6,6,5,6,5,5,5,6,6,6,6,6,5,2,,30,1
2,4,6,6,4,5,2,2,4,5,5,5,6,5,6,7,2,,30,1
4,1,7,1,1,1,6,4,4,1,3,1,1,4,1,4,1,,35,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,26,1
6,5,4,5,4,6,6,5,6,5,5,6,6,4,5,7,2,,30,1
4,5,4,6,6,5,4,4,6,6,5,4,4,6,6,7,2,,27,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,27,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,27,1
3,3,2,3,3,5,1,1,5,3,1,1,5,5,2,6,2,,24,1
6,4,6,5,5,5,5,5,4,5,5,5,5,6,5,5,2,,23,1
2,1,1,1,1,1,5,7,1,1,3,2,2,1,1,1,2,,34,1
1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,,42,1
4,1,2,2,2,2,5,3,2,3,3,4,2,2,2,2,2,,56,1
5,6,4,5,5,6,6,6,5,5,6,5,6,7,6,6,2,,25,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,32,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,45,1
1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,2,,27,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,37,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,45,1
2,1,3,1,1,4,1,2,3,2,2,1,1,1,1,2,2,,28,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,65,1
2,3,3,2,3,1,3,3,2,3,1,3,3,4,4,4,2,,25,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,,24,1
1,1,2,1,1,1,2,2,2,1,1,2,2,1,1,1,2,,28,1
6,7,6,6,6,6,6,6,5,6,5,7,6,7,6,6,2,,25,1
6,5,5,5,6,7,6,5,7,6,6,7,6,5,7,6,2,,30,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,30,1
6,6,5,3,7,6,6,7,5,4,3,5,4,1,5,5,2,,24,1
1,1,1,1,4,1,7,7,7,1,1,7,1,1,1,1,2,,23,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,36,1
2,2,1,2,1,1,1,2,3,1,3,1,1,1,2,1,1,,32,1
2,3,1,3,2,2,6,4,4,3,2,2,2,5,3,2,2,,27,1
3,2,3,2,3,3,3,2,3,2,3,3,2,2,2,2,2,,43,1
2,5,2,5,5,2,5,5,5,2,5,5,2,2,2,2,2,,35,1
4,6,6,6,6,6,6,7,7,5,3,4,5,3,4,6,2,,28,1
1,1,1,2,2,2,3,7,1,1,1,2,1,1,1,1,1,,20,1
3,3,3,3,3,3,5,5,4,3,3,3,3,2,3,2,2,,35,1
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,,31,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,58,1
5,6,6,5,5,5,6,6,5,6,6,5,5,5,6,6,2,,28,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,22,1
4,4,5,5,5,3,5,4,5,5,5,5,5,5,6,5,2,,29,1
6,5,6,7,7,6,6,6,6,7,5,5,7,5,6,6,2,,26,1
1,1,1,2,2,1,3,3,3,2,2,2,1,1,1,1,1,,24,1
1,2,1,1,1,1,1,1,1,1,1,1,3,1,5,3,1,,32,1
1,1,1,1,1,1,4,1,1,1,1,4,1,4,1,4,1,,61,1
4,4,4,5,6,4,5,4,5,3,4,4,2,3,3,3,1,,24,1
7,7,7,6,6,7,6,7,6,6,6,6,7,6,7,6,2,,20,2
1,2,2,1,1,1,2,1,1,2,3,1,2,2,1,1,1,,23,1
2,5,4,6,4,5,5,3,2,7,5,1,4,5,5,4,2,,29,1
1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,,66,1
6,5,5,6,5,6,6,5,6,6,6,5,6,5,5,6,2,,27,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,30,1
7,5,6,6,5,6,6,6,7,7,6,6,6,7,5,7,2,,24,1
5,7,3,3,3,7,7,7,7,2,7,7,1,7,2,7,1,,30,1
1,4,1,1,1,1,1,7,4,1,3,1,1,1,1,1,2,,26,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,53,1
6,4,6,6,4,5,4,5,5,6,6,5,6,6,4,6,2,,29,1
1,1,1,1,3,1,5,6,3,1,1,3,1,1,1,1,1,,49,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,25,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,27,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,,27,1
1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,,27,1
6,5,6,4,5,5,5,5,7,4,6,5,6,5,5,7,2,,28,1
2,1,1,1,5,2,1,2,6,5,2,5,6,2,1,1,2,,27,1
2,2,2,1,2,1,3,1,1,2,1,2,2,3,1,3,2,,31,1
7,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,2,,27,1
5,5,4,5,6,5,6,5,5,4,6,6,4,5,4,5,2,,26,1
2,1,2,3,1,2,4,5,1,1,1,2,2,1,1,2,2,,25,1
3,2,3,2,2,2,6,7,7,2,2,3,2,2,6,3,2,,51,1
2,4,2,5,6,3,7,7,6,1,6,5,1,4,7,1,1,,19,1
,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,,28,1
1,1,1,1,1,1,3,4,3,1,1,2,1,1,1,1,2,,23,1
6,5,6,3,4,6,6,6,5,6,6,6,6,6,4,6,1,,33,1
7,4,7,5,5,7,5,4,7,6,7,7,4,5,7,4,1,,66,1
3,1,1,3,4,5,4,2,4,1,1,1,1,2,1,1,1,,43,1
1,1,1,2,3,2,3,3,1,2,2,2,1,3,1,3,1,,32,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,28,1
1,1,1,1,2,2,4,4,2,1,2,2,1,1,3,1,2,,33,1
1,1,2,1,1,1,1,3,1,1,1,3,2,1,1,2,2,,49,1
3,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,2,,23,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,28,1
7,7,2,6,7,7,7,7,7,2,6,6,5,6,6,3,2,,30,1
3,1,5,1,1,1,6,7,4,4,3,2,1,2,2,1,1,,47,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,28,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,30,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,25,1
1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,,40,1
4,3,2,4,3,3,5,6,4,3,2,3,4,4,3,3,2,,24,1
1,1,3,1,1,5,1,7,5,1,1,1,4,3,1,4,2,,34,2
1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,,30,1
5,6,3,6,2,7,5,7,6,3,6,6,5,6,2,2,1,,37,2
1,1,1,3,2,1,2,5,3,2,2,2,1,2,2,1,2,,20,1
2,7,3,5,6,6,7,5,1,1,6,4,1,7,1,4,2,,35,1
7,7,7,7,7,7,6,6,7,7,7,6,7,7,6,7,2,,30,1
4,2,3,2,3,3,2,4,1,2,5,2,5,4,2,5,1,,32,1
5,7,6,6,6,5,6,5,7,6,5,4,5,4,4,5,2,,27,1
3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,4,2,,31,1
1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,,69,1
1,1,1,4,1,1,1,1,1,4,4,1,1,1,1,1,1,,53,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,30,1
2,1,1,2,3,3,1,7,4,2,1,7,3,1,1,5,2,,21,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,38,1
4,3,4,6,4,6,4,5,7,7,5,6,6,5,5,6,2,,29,1
5,5,3,4,3,4,3,4,5,5,4,3,5,4,4,5,2,,27,1
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,,30,1
5,5,6,6,6,5,5,5,6,6,6,5,5,5,5,6,1,,26,1
